City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,yarmouth,41.7057,-70.2286,16.03,88,100,2.57,US,1728860230
122,anadyr,64.75,177.4833,-10.72,79,20,3.0,RU,1728860231
123,kerikeri,-35.2268,173.9474,13.55,66,100,2.44,NZ,1728860232
124,alice springs,-23.7,133.8833,27.75,32,23,3.6,AU,1728860233
125,ust-nera,64.5667,143.2,-7.95,86,80,1.44,RU,1728860234
126,tazacorte,28.629,-17.9293,22.54,77,0,3.6,ES,1728860236
127,i-n-salah,27.1935,2.4607,32.66,14,0,3.43,DZ,1728860237
128,viqueque,-8.8673,126.3658,26.88,76,100,0.68,TL,1728860238
129,eyl,7.9803,49.8164,26.54,78,41,5.12,SO,1728860239
130,moussoro,13.6408,16.4901,29.32,52,100,3.42,TD,1728860240
131,alofi,-19.0595,-169.9187,27.94,74,75,5.14,NU,1728860241
132,kourou,5.1552,-52.6478,27.08,77,18,4.26,GF,1728860243
133,port saint john's,-31.6229,29.5448,20.6,88,51,1.28,ZA,1728860244
134,atafu village,-8.5421,-172.5159,27.88,76,30,5.02,TK,1728860246
135,hadibu,12.65,54.0333,26.46,65,78,0.72,YE,1728860247
136,kuraymah,18.55,31.85,33.03,26,91,3.28,SD,1728860248
137,mabaruma,8.2,-59.7833,24.77,85,100,1.1,GY,1728860249
138,santiago de cao,-7.9589,-79.2392,18.07,88,42,4.63,PE,1728860251
139,pariaman,-0.619,100.12,24.29,86,100,3.53,ID,1728860252
140,jwaneng,-24.6004,24.7303,22.67,24,38,4.5,BW,1728860253
141,ocean shores,46.9737,-124.1563,17.0,86,0,6.17,US,1728860254
142,lodja,-3.4833,23.4333,20.17,99,100,1.09,CD,1728860114
143,loikaw,19.6742,97.2094,18.93,95,52,1.28,MM,1728860256
144,castillos,-34.1667,-53.8333,15.48,77,100,2.78,UY,1728860257
145,betio village,1.358,172.9211,31.02,71,6,7.08,KI,1728860259
146,warmbad,-28.45,18.7333,20.54,37,64,5.92,NA,1728860260
147,puerto baquerizo moreno,-0.9,-89.6,22.55,83,75,4.63,EC,1728860261
148,geraldton,-28.7667,114.6,18.23,68,75,0.51,AU,1728860262
149,verkhnevilyuysk,63.4453,120.3167,-11.74,97,95,1.55,RU,1728860263
150,gowurdak,37.8124,66.0466,18.37,43,56,3.44,TM,1728860264
151,nabire,-3.3667,135.4833,24.46,95,100,1.44,ID,1728860266
152,oranjemund,-28.55,16.4333,15.09,89,71,10.45,NA,1728860267
153,progreso,21.2833,-89.6667,28.31,80,45,3.93,MX,1728860268
154,hithadhoo,-0.6,73.0833,28.07,74,96,4.92,MV,1728860270
155,al mutayrifi,25.4788,49.5576,27.19,68,0,2.01,SA,1728860271
156,kapa'a,22.0752,-159.319,29.18,70,20,5.66,US,1728860273
157,bowen,-20.0167,148.2333,23.41,77,73,8.35,AU,1728860274
158,little falls,40.869,-74.2082,19.63,77,100,3.6,US,1728860019
159,alupka,44.4167,34.05,15.16,78,88,4.45,UA,1728860276
160,at taj,24.2049,23.2857,26.48,22,0,4.12,LY,1728860277
161,gebeit,21.0667,36.3167,26.85,37,21,0.64,SD,1728860278
162,nieuw amsterdam,5.8833,-55.0833,30.01,58,20,2.57,SR,1728860279
163,sinop,41.7711,34.8709,12.13,97,100,1.1,TR,1728860281
164,rio preto da eva,-2.6994,-59.6997,30.39,44,98,0.69,BR,1728860282
165,kudahuvadhoo,2.6708,72.8944,27.6,79,93,6.87,MV,1728860283
166,broken hill,-31.95,141.4333,25.57,16,80,2.2,AU,1728860284
167,college,64.8569,-147.8028,5.05,88,75,0.0,US,1728860140
168,st. john's,47.5649,-52.7093,9.98,83,75,8.23,CA,1728860286
169,bereznik,62.8551,42.7072,3.21,77,100,3.89,RU,1728860288
170,mount gambier,-37.8333,140.7667,15.57,71,19,4.5,AU,1728860289
171,trincomalee,8.5711,81.2335,25.72,79,100,4.18,LK,1728860290
172,lancaster,40.2504,-76.2499,23.23,63,0,4.63,US,1728860291
173,arraial do cabo,-22.9661,-42.0278,21.77,83,99,5.02,BR,1728860292
174,whitehorse,60.7161,-135.0538,9.43,49,75,9.26,CA,1728860253
175,tejen,37.3834,60.5054,15.33,52,83,3.17,TM,1728860294
176,popondetta,-8.7537,148.2534,25.89,87,100,0.54,PG,1728860296
177,gisborne,-38.6533,178.0042,14.35,78,100,2.23,NZ,1728860297
178,dudinka,69.4058,86.1778,-0.29,91,100,8.51,RU,1728860298
179,wailua homesteads,22.0669,-159.378,28.44,70,20,5.66,US,1728860299
180,kazimierza wielka,50.2656,20.4936,9.03,70,27,8.57,PL,1728860300
181,vilyuchinsk,52.9306,158.4028,7.15,82,100,4.28,RU,1728860301
182,moree,-29.4667,149.85,15.66,80,100,5.93,AU,1728860302
183,mariental,-24.6333,17.9667,24.11,20,69,4.59,NA,1728860116
184,melfort,52.8667,-104.6177,10.07,46,95,2.57,CA,1728860305
185,weno,7.4515,151.8468,27.97,89,100,0.0,FM,1728860306
186,grand island,40.925,-98.342,16.97,32,0,6.69,US,1728860124
187,al bardiyah,31.7561,25.0865,22.2,85,0,5.46,LY,1728860308
188,portland,45.5234,-122.6762,25.56,48,40,0.89,US,1728860188
189,volodarskiy,46.4013,48.5409,4.23,56,45,5.78,RU,1728860310
190,praia da vitoria,38.7333,-27.0667,20.14,94,75,3.22,PT,1728860311
191,uturoa,-16.7333,-151.4333,24.94,67,62,7.47,PF,1728860313
